"","startpoint","endpoint","retained....","particles.detected"
"1",0,0.06,3.3,705044
"2",0.06,0.065,0.8,705044
"3",0.065,0.07,0.9,705044
"4",0.07,0.076,1.1,705044
"5",0.076,0.082,1.3,705044
"6",0.082,0.089,1.3,705044
"7",0.089,0.096,1.5,705044
"8",0.096,0.104,1.7,705044
"9",0.104,0.112,1.8,705044
"10",0.112,0.121,1.8,705044
"11",0.121,0.131,1.9,705044
"12",0.131,0.142,1.9,705044
"13",0.142,0.153,1.8,705044
"14",0.153,0.166,1.7,705044
"15",0.166,0.179,1.4,705044
"16",0.179,0.194,1.3,705044
"17",0.194,0.21,1.3,705044
"18",0.21,0.227,1.3,705044
"19",0.227,0.245,1.2,705044
"20",0.245,0.265,1.2,705044
"21",0.265,0.287,1.1,705044
"22",0.287,0.31,1.1,705044
"23",0.31,0.336,1.3,705044
"24",0.336,0.363,1.4,705044
"25",0.363,0.392,2,705044
"26",0.392,0.424,2.5,705044
"27",0.424,0.459,3.1,705044
"28",0.459,0.496,4.3,705044
"29",0.496,0.536,5.8,705044
"30",0.536,0.58,6.2,705044
"31",0.58,0.627,7.1,705044
"32",0.627,0.678,6.7,705044
"33",0.678,0.734,6.5,705044
"34",0.734,0.793,6,705044
"35",0.793,0.858,4.7,705044
"36",0.858,0.928,3.3,705044
"37",0.928,1.003,2.2,705044
"38",1.003,1.085,1.6,705044
"39",1.085,1.173,1,705044
"40",1.173,1.269,0.7,705044
"41",1.269,1.372,0.4,705044
"42",1.372,1.484,0.2,705044
"43",1.484,1.604,0.1,705044
"44",1.604,1.735,0.1,705044
"45",1.735,1.876,0.1,705044
"46",1.876,2.029,0,705044
"47",2.029,2.194,0,705044
"48",2.194,2.372,0,705044
"49",2.372,2.565,0,705044
"50",2.565,2.774,0,705044
"51",2.774,3,0,705044
"52",3,1000,0,705044
